family,identifier,child,subchild,sort-as,control_name,assessment_objective,EXAMINE,INTERVIEW,TEST
ACCESS CONTROL,AC-09,,,AC-09-00-00,Previous Logon Notification,Determine if:,[SELECT FROM: Access control policy; procedures addressing previous logon notification; system design documentation; system configuration settings and associated documentation; system notification messages; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for previous logon notification].
,,AC-10,AC-10_ODP[01],AC-10-00-01,,accounts and/or account types for which to limit the number of concurrent sessions is defined;,,,
,,AC-10,AC-10_ODP[02],AC-10-00-02,,the number of concurrent sessions to be allowed for each account and/or account type is defined;,,,
,,AC-10,AC-10,AC-10-00-03,,the number of concurrent sessions for each <AC-10_ODP[01] account and/or account types> is limited to <AC-10_ODP[02] number>.,,,
ACCESS CONTROL,AC-10,,,AC-10-00-00,Concurrent Session Control,Determine if:,[SELECT FROM: Access control policy; procedures addressing concurrent session control; system design documentation; system configuration settings and associated documentation; security plan; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for concurrent session control].
,,AC-11,AC-11_ODP[01],AC-11-00-01,,one or more of the following PARAMETER VALUES is/are selected: {initiating a device lock after <AC-11_ODP[02] time period> of inactivity; requiring the user to initiate a device lock before leaving the system unattended};,,,
,,AC-11,AC-11_ODP[02],AC-11-00-02,,time period of inactivity after which a device lock is initiated is defined (if selected);,,,
,,AC-11,AC-11a.,AC-11-00-03,,further access to the system is prevented by <AC-11_ODP[01] SELECTED PARAMETER VALUES>;,,,
,,AC-11,AC-11b.,AC-11-00-04,,device lock is retained until the user re-establishes access using established identification and authentication procedures.,,,
,AC-11(01),,,AC-11-01-00,Device Lock | Pattern-hiding Displays,Determine if:,[SELECT FROM: Access control policy; procedures addressing session lock; display screen with session lock activated; system design documentation; system configuration settings and associated documentation; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: System session lock mechanisms].
,,AC-11(01),AC-11(01),AC-11-01-01,,"information previously visible on the display is concealed, via device lock, with a publicly viewable image.",,,
ACCESS CONTROL,AC-11,,,AC-11-00-00,Device Lock,Determine if:,[SELECT FROM: Access control policy; procedures addressing session lock; procedures addressing identification and authentication; system design documentation; system configuration settings and associated documentation; security plan; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for session lock].
,,AC-12,AC-12_ODP,AC-12-00-01,,conditions or trigger events requiring session disconnect are defined;,,,
,,AC-12,AC-12,AC-12-00-02,,a user session is automatically terminated after <AC-12_ODP conditions or trigger events>.,,,
,AC-12(01),,,AC-12-01-00,Session Termination | User-initiated Logouts,Determine if:,[SELECT FROM: Access control policy; procedures addressing session termination; user logout messages; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: System session termination mechanisms; logout capabilities for user-initiated communications sessions].
,,AC-12(01),AC-12(01)_ODP,AC-12-01-01,,information resources for which a logout capability for user-initiated communications sessions is required are defined;,,,
,,AC-12(01),AC-12(01),AC-12-01-02,,a logout capability is provided for user-initiated communications sessions whenever authentication is used to gain access to <AC-12(01)_ODP information resources>.,,,
,AC-12(02),,,AC-12-02-00,Session Termination | Termination Message,Determine if:,[SELECT FROM: Access control policy; procedures addressing session termination; user logout messages; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: System session termination mechanisms; display of logout messages].
,,AC-12(02),AC-12(02),AC-12-02-01,,an explicit logout message is displayed to users indicating the termination of authenticated communication sessions.,,,
,AC-12(03),,,AC-12-03-00,Session Termination | Timeout Warning Message,Determine if:,[SELECT FROM: Access control policy; procedures addressing session termination; time until end of session messages; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: System session termination mechanisms; display of end of session time].
,,AC-12(03),AC-12(03)_ODP,AC-12-03-01,,time until the end of session for display to users is defined;,,,
,,AC-12(03),AC-12(03),AC-12-03-02,,an explicit message to users is displayed indicating that the session will end in <AC-12(03)_ODP time>.,,,
ACCESS CONTROL,AC-12,,,AC-12-00-00,Session Termination,Determine if:,[SELECT FROM: Access control policy; procedures addressing session termination; system design documentation; system configuration settings and associated documentation; list of conditions or trigger events requiring session disconnect; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms implementing user session termination].
ACCESS CONTROL,AC-13,,,AC-13-00-00,Supervision and Review — Access Control,"[WITHDRAWN: Incorporated into AC-02, AU-06.]",,,
,,AC-14,AC-14_ODP,AC-14-00-01,,user actions that can be performed on the system without identification or authentication are defined;,,,
,,AC-14,AC-14a.,AC-14-00-02,,<AC-14_ODP user actions> that can be performed on the system without identification or authentication consistent with organizational mission and business functions are identified;,,,
,,AC-14,AC-14b.[01],AC-14-00-03,,user actions not requiring identification or authentication are documented in the security plan for the system;,,,
,,AC-14,AC-14b.[02],AC-14-00-04,,a rationale for user actions not requiring identification or authentication is provided in the security plan for the system.,,,
,AC-14(01),,,AC-14-01-00,Permitted Actions Without Identification or Authentication | Necessary Uses,[WITHDRAWN: Incorporated into AC-14.],,,
ACCESS CONTROL,AC-14,,,AC-14-00-00,Permitted Actions Without Identification or Authentication,Determine if:,[SELECT FROM: Access control policy; procedures addressing permitted actions without identification or authentication; system configuration settings and associated documentation; security plan; list of user actions that can be performed without identification or authentication; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security responsibilities].,
ACCESS CONTROL,AC-15,,,AC-15-00-00,Automated Marking,[WITHDRAWN: Incorporated into MP-03.],,,
,,AC-16,AC-16_ODP[01],AC-16-00-01,,"types of security attributes to be associated with information security attribute values for information in storage, in process, and/or in transmission are defined;",,,
,,AC-16,AC-16_ODP[02],AC-16-00-02,,"types of privacy attributes to be associated with privacy attribute values for information in storage, in process, and/or in transmission are defined;",,,
,,AC-16,AC-16_ODP[03],AC-16-00-03,,security attribute values for types of security attributes are defined;,,,
,,AC-16,AC-16_ODP[04],AC-16-00-04,,privacy attribute values for types of privacy attributes are defined;,,,
,,AC-16,AC-16_ODP[05],AC-16-00-05,,systems for which permitted security attributes are to be established are defined;,,,
,,AC-16,AC-16_ODP[06],AC-16-00-06,,systems for which permitted privacy attributes are to be established are defined;,,,
,,AC-16,AC-16_ODP[07],AC-16-00-07,,security attributes defined as part of AC-16a that are permitted for systems are defined;,,,
,,AC-16,AC-16_ODP[08],AC-16-00-08,,privacy attributes defined as part of AC-16a that are permitted for systems are defined;,,,
,,AC-16,AC-16_ODP[09],AC-16-00-09,,attribute values or ranges for established attributes are defined;,,,
,,AC-16,AC-16_ODP[10],AC-16-00-10,,the frequency at which to review security attributes for applicability is defined;,,,
,,AC-16,AC-16_ODP[11],AC-16-00-11,,the frequency at which to review privacy attributes for applicability is defined;,,,
,,AC-16,AC-16a.[01],AC-16-00-12,,"the means to associate <AC-16_ODP[01] types of security attributes> with <AC-16_ODP[03] security attribute values> for information in storage, in process, and/or in transmission are provided;",,,
,,AC-16,AC-16a.[02],AC-16-00-13,,"the means to associate <AC-16_ODP[02] types of privacy attributes> with <AC-16_ODP[04] privacy attribute values> for information in storage, in process, and/or in transmission are provided;",,,
,,AC-16,AC-16b.[01],AC-16-00-14,,attribute associations are made;,,,
,,AC-16,AC-16b.[02],AC-16-00-15,,attribute associations are retained with the information;,,,
,,AC-16,AC-16c.[01],AC-16-00-16,,the following permitted security attributes are established from the attributes defined in AC-16_ODP[01] for <AC-16_ODP[05] systems>: <AC-16_ODP[07] security attributes>;,,,
,,AC-16,AC-16c.[02],AC-16-00-17,,the following permitted privacy attributes are established from the attributes defined in AC-16_ODP[02] for <AC-16_ODP[06] systems>: <AC-16_ODP[08] privacy attributes>;,,,
,,AC-16,AC-16d.,AC-16-00-18,,the following permitted attribute values or ranges for each of the established attributes are determined: <AC-16_ODP[09] attribute values or ranges>;,,,
,,AC-16,AC-16e.,AC-16-00-19,,changes to attributes are audited;,,,
,,AC-16,AC-16f.[01],AC-16-00-20,,<AC-16_ODP[07] security attributes> are reviewed for applicability <AC-16_ODP[10] frequency>;,,,
,,AC-16,AC-16f.[02],AC-16-00-21,,<AC-16_ODP[08] privacy attributes> are reviewed for applicability <AC-16_ODP[11] frequency>.,,,
,AC-16(01),,,AC-16-01-00,Security and Privacy Attributes | Dynamic Attribute Association,Determine if:,[SELECT FROM: Access control policy; procedures addressing dynamic association of security and privacy attributes to information; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Automated mechanisms implementing dynamic association of security and privacy attributes to information].
,,AC-16(01),AC-16(01)_ODP[01],AC-16-01-01,,subjects with which security attributes are to be dynamically associated as information is created and combined are defined;,,,
,,AC-16(01),AC-16(01)_ODP[02],AC-16-01-02,,objects with which security attributes are to be dynamically associated as information is created and combined are defined;,,,
,,AC-16(01),AC-16(01)_ODP[03],AC-16-01-03,,subjects with which privacy attributes are to be dynamically associated as information is created and combined are defined;,,,
,,AC-16(01),AC-16(01)_ODP[04],AC-16-01-04,,objects with which privacy attributes are to be dynamically associated as information is created and combined are defined;,,,
,,AC-16(01),AC-16(01)_ODP[05],AC-16-01-05,,security policies requiring dynamic association of security attributes with subjects and objects are defined;,,,
,,AC-16(01),AC-16(01)_ODP[06],AC-16-01-06,,privacy policies requiring dynamic association of privacy attributes with subjects and objects are defined;,,,
,,AC-16(01),AC-16(01)[01],AC-16-01-07,,security attributes are dynamically associated with <AC-16(01)_ODP[01] subjects> in accordance with the following security policies as information is created and combined: <AC-16(01)_ODP[05] security policies>;,,,
,,AC-16(01),AC-16(01)[02],AC-16-01-08,,security attributes are dynamically associated with <AC-16(01)_ODP[02] objects> in accordance with the following security policies as information is created and combined: <AC-16(01)_ODP[05] security policies>;,,,
,,AC-16(01),AC-16(01)[03],AC-16-01-09,,privacy attributes are dynamically associated with <AC-16(01)_ODP[03] subjects> in accordance with the following privacy policies as information is created and combined: <AC-16(01)_ODP[06] privacy policies>;,,,
,,AC-16(01),AC-16(01)[04],AC-16-01-10,,privacy attributes are dynamically associated with <AC-16(01)_ODP[04] objects> in accordance with the following privacy policies as information is created and combined: <AC-16(01)_ODP[06] privacy policies>.,,,
,AC-16(02),,,AC-16-02-00,Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,Determine if:,[SELECT FROM: Access control policy; procedures addressing the change of security and privacy attribute values; system design documentation; system configuration settings and associated documentation; list of individuals authorized to change security and privacy attributes; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for changing values of security and privacy attributes; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms permitting changes to values of security and privacy attributes].
,,AC-16(02),AC-16(02)[01],AC-16-02-01,,authorized individuals (or processes acting on behalf of individuals) are provided with the capability to define or change the value of associated security attributes;,,,
,,AC-16(02),AC-16(02)[02],AC-16-02-02,,authorized individuals (or processes acting on behalf of individuals) are provided with the capability to define or change the value of associated privacy attributes.,,,
,AC-16(03),,,AC-16-03-00,Security and Privacy Attributes | Maintenance of Attribute Associations by System,Determine if:,[SELECT FROM: Access control policy; procedures addressing the association of security and privacy attributes to information; procedures addressing labeling or marking; system design documentation; system configuration settings and associated documentation; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms maintaining association and integrity of security and privacy attributes to information].
,,AC-16(03),AC-16(03)_ODP[01],AC-16-03-01,,security attributes that require association and integrity maintenance are defined;,,,
,,AC-16(03),AC-16(03)_ODP[02],AC-16-03-02,,privacy attributes that require association and integrity maintenance are defined;,,,
,,AC-16(03),AC-16(03)_ODP[03],AC-16-03-03,,subjects requiring the association and integrity of security attributes to such subjects to be maintained are defined;,,,
,,AC-16(03),AC-16(03)_ODP[04],AC-16-03-04,,objects requiring the association and integrity of security attributes to such objects to be maintained are defined;,,,
,,AC-16(03),AC-16(03)_ODP[05],AC-16-03-05,,subjects requiring the association and integrity of privacy attributes to such subjects to be maintained are defined;,,,
,,AC-16(03),AC-16(03)_ODP[06],AC-16-03-06,,objects requiring the association and integrity of privacy attributes to such objects to be maintained are defined;,,,
,,AC-16(03),AC-16(03)[01],AC-16-03-07,,the association and integrity of <AC-16(03)_ODP[01] security attributes> to <AC-16(03)_ODP[03] subjects> is maintained;,,,
,,AC-16(03),AC-16(03)[02],AC-16-03-08,,the association and integrity of <AC-16(03)_ODP[01] security attributes> to <AC-16(03)_ODP[04] objects> is maintained.,,,
,,AC-16(03),AC-16(03)[03],AC-16-03-09,,the association and integrity of <AC-16(03)_ODP[02] privacy attributes> to <AC-16(03)_ODP[05] subjects> is maintained;,,,
,,AC-16(03),AC-16(03)[04],AC-16-03-10,,the association and integrity of <AC-16(03)_ODP[02] privacy attributes> to <AC-16(03)_ODP[06] objects> is maintained.,,,
,AC-16(04),,,AC-16-04-00,Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Determine if:,[SELECT FROM: Access control policy; procedures addressing the association of security and privacy attributes to information; system design documentation; system configuration settings and associated documentation; list of users authorized to associate security and privacy attributes to information; system prompts for privileged users to select security and privacy attributes to be associated with information objects; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for associating security and privacy attributes to information; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms supporting user associations of security and privacy attributes to information].
,,AC-16(04),AC-16(04)_ODP[01],AC-16-04-01,,security attributes to be associated with subjects by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[02],AC-16-04-02,,security attributes to be associated with objects by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[03],AC-16-04-03,,privacy attributes to be associated with subjects by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[04],AC-16-04-04,,privacy attributes to be associated with objects by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[05],AC-16-04-05,,subjects requiring the association of security attributes by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[06],AC-16-04-06,,objects requiring the association of security attributes by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[07],AC-16-04-07,,subjects requiring the association of privacy attributes by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)_ODP[08],AC-16-04-08,,objects requiring the association of privacy attributes by authorized individuals (or processes acting on behalf of individuals) are defined;,,,
,,AC-16(04),AC-16(04)[01],AC-16-04-09,,authorized individuals (or processes acting on behalf of individuals) are provided with the capability to associate <AC-16(04)_ODP[01] security attributes> with <AC-16(04)_ODP[05] subjects>;,,,
,,AC-16(04),AC-16(04)[02],AC-16-04-10,,authorized individuals (or processes acting on behalf of individuals) are provided with the capability to associate <AC-16(04)_ODP[02] security attributes> with <AC-16(04)_ODP[06] objects>;,,,
,,AC-16(04),AC-16(04)[03],AC-16-04-11,,authorized individuals (or processes acting on behalf of individuals) are provided with the capability to associate <AC-16(04)_ODP[03] privacy attributes> with <AC-16(04)_ODP[07] subjects>;,,,
,,AC-16(04),AC-16(04)[04],AC-16-04-12,,authorized individuals (or processes acting on behalf of individuals) are provided with the capability to associate <AC-16(04)_ODP[04] privacy attributes> with <AC-16(04)_ODP[08] objects>.,,,
,AC-16(05),,,AC-16-05-00,Security and Privacy Attributes | Attribute Displays on Objects to Be Output,Determine if:,"[SELECT FROM: Access control policy; procedures addressing display of security and privacy attributes in human-readable form; special dissemination, handling, or distribution instructions; types of human-readable, standard naming conventions; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: System output devices displaying security and privacy attributes in human-readable form on each object].
,,AC-16(05),AC-16(05)_ODP[01],AC-16-05-01,,"special dissemination, handling, or distribution instructions to be used for each object that the system transmits to output devices are defined;",,,
,,AC-16(05),AC-16(05)_ODP[02],AC-16-05-02,,"human-readable, standard naming conventions for the security and privacy attributes to be displayed in human-readable form on each object that the system transmits to output devices are defined;",,,
,,AC-16(05),AC-16(05)[01],AC-16-05-03,,security attributes are displayed in human-readable form on each object that the system transmits to output devices to identify <AC-16(05)_ODP[01] instructions> using <AC-16(05)_ODP[02] naming conventions>;,,,
,,AC-16(05),AC-16(05)[02],AC-16-05-04,,privacy attributes are displayed in human-readable form on each object that the system transmits to output devices to identify <AC-16(05)_ODP[01] instructions> using <AC-16(05)_ODP[02] naming conventions>.,,,
,AC-16(06),,,AC-16-06-00,Security and Privacy Attributes | Maintenance of Attribute Association,Determine if:,[SELECT FROM: Access control policy; procedures addressing association of security and privacy attributes with subjects and objects; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for associating and maintaining association of security and privacy attributes with subjects and objects; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms supporting associations of security and privacy attributes to subjects and objects].
,,AC-16(06),AC-16(06)_ODP[01],AC-16-06-01,,security attributes to be associated with subjects are defined;,,,
,,AC-16(06),AC-16(06)_ODP[02],AC-16-06-02,,security attributes to be associated with objects are defined;,,,
,,AC-16(06),AC-16(06)_ODP[03],AC-16-06-03,,privacy attributes to be associated with subjects are defined;,,,
,,AC-16(06),AC-16(06)_ODP[04],AC-16-06-04,,privacy attributes to be associated with objects are defined;,,,
,,AC-16(06),AC-16(06)_ODP[05],AC-16-06-05,,subjects to be associated with information security attributes are defined;,,,
,,AC-16(06),AC-16(06)_ODP[06],AC-16-06-06,,objects to be associated with information security attributes are defined;,,,
,,AC-16(06),AC-16(06)_ODP[07],AC-16-06-07,,subjects to be associated with privacy attributes are defined;,,,
,,AC-16(06),AC-16(06)_ODP[08],AC-16-06-08,,objects to be associated with privacy attributes are defined;,,,
,,AC-16(06),AC-16(06)_ODP[09],AC-16-06-09,,security policies that require personnel to associate and maintain the association of security and privacy attributes with subjects and objects;,,,
,,AC-16(06),AC-16(06)_ODP[10],AC-16-06-10,,privacy policies that require personnel to associate and maintain the association of security and privacy attributes with subjects and objects;,,,
,,AC-16(06),AC-16(06)[01],AC-16-06-11,,personnel are required to associate and maintain the association of <AC-16(06)_ODP[01] security attributes> with <AC-16(06)_ODP[05] subjects> in accordance with <AC-16(06)_ODP[09] security policies>;,,,
,,AC-16(06),AC-16(06)[02],AC-16-06-12,,personnel are required to associate and maintain the association of <AC-16(06)_ODP[02] security attributes> with <AC-16(06)_ODP[06] objects> in accordance with <AC-16(06)_ODP[09] security policies>;,,,
,,AC-16(06),AC-16(06)[03],AC-16-06-13,,personnel are required to associate and maintain the association of <AC-16(06)_ODP[03] privacy attributes> with <AC-16(06)_ODP[07] subjects> in accordance with <AC-16(06)_ODP[10] privacy policies>;,,,
,,AC-16(06),AC-16(06)[04],AC-16-06-14,,personnel are required to associate and maintain the association of <AC-16(06)_ODP[04] privacy attributes> with <AC-16(06)_ODP[08] objects> in accordance with <AC-16(06)_ODP[10] privacy policies>.,,,
,AC-16(07),,,AC-16-07-00,Security and Privacy Attributes | Consistent Attribute Interpretation,Determine if:,[SELECT FROM: Access control policies and procedures; procedures addressing consistent interpretation of security and privacy attributes transmitted between distributed system components; procedures addressing access enforcement; procedures addressing information flow enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy access control policy; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for providing consistent interpretation of security and privacy attributes used in access enforcement and information flow enforcement actions; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access enforcement and information flow enforcement functions].
,,AC-16(07),AC-16(07)[01],AC-16-07-01,,a consistent interpretation of security attributes transmitted between distributed system components is provided;,,,
,,AC-16(07),AC-16(07)[02],AC-16-07-02,,a consistent interpretation of privacy attributes transmitted between distributed system components is provided.,,,
,AC-16(08),,,AC-16-08-00,Security and Privacy Attributes | Association Techniques and Technologies,Determine if:,[SELECT FROM: Access control policy; procedures addressing association of security and privacy attributes to information; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for associating security and privacy attributes to information; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing techniques or technologies associating security and privacy attributes to information].
,,AC-16(08),AC-16(08)_ODP[01],AC-16-08-01,,techniques and technologies to be implemented in associating security attributes to information are defined;,,,
,,AC-16(08),AC-16(08)_ODP[02],AC-16-08-02,,techniques and technologies to be implemented in associating privacy attributes to information are defined;,,,
,,AC-16(08),AC-16(08)[01],AC-16-08-03,,<AC-16(08)_ODP[01] techniques and technologies> are implemented in associating security attributes to information;,,,
,,AC-16(08),AC-16(08)[02],AC-16-08-04,,<AC-16(08)_ODP[02] techniques and technologies> are implemented in associating privacy attributes to information.,,,
,AC-16(09),,,AC-16-09-00,Security and Privacy Attributes | Attribute Reassignment — Regrading Mechanisms,Determine if:,[SELECT FROM: Access control policy; procedures addressing reassignment of security attributes to information; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for reassigning association of security and privacy attributes to information; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing techniques or procedures for reassigning association of security and privacy attributes to information].
,,AC-16(09),AC-16(09)_ODP[01],AC-16-09-01,,techniques or procedures used to validate regrading mechanisms for security attributes are defined;,,,
,,AC-16(09),AC-16(09)_ODP[02],AC-16-09-02,,techniques or procedures used to validate regrading mechanisms for privacy attributes are defined;,,,
,,AC-16(09),AC-16(09)[01],AC-16-09-03,,security attributes associated with information are changed only via regrading mechanisms validated using <AC-16(09)_ODP[01] techniques or procedures>;,,,
,,AC-16(09),AC-16(09)[02],AC-16-09-04,,privacy attributes associated with information are changed only via regrading mechanisms validated using <AC-16(09)_ODP[02] techniques or procedures>.,,,
,AC-16(10),,,AC-16-10-00,Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,Determine if:,[SELECT FROM: Access control policy; procedures addressing configuration of security and privacy attributes by authorized individuals; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with responsibilities for defining or changing security and privacy attributes associated with information; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing capability for defining or changing security and privacy attributes].
,,AC-16(10),AC-16(10)[01],AC-16-10-01,,authorized individuals are provided with the capability to define or change the type and value of security attributes available for association with subjects and objects;,,,
,,AC-16(10),AC-16(10)[02],AC-16-10-02,,authorized individuals are provided with the capability to define or change the type and value of privacy attributes available for association with subjects and objects.,,,
ACCESS CONTROL,AC-16,,,AC-16-00-00,Security and Privacy Attributes,Determine if:,"[SELECT FROM: Access control policy; procedures addressing the association of security and privacy attributes to information in storage, in process, and in transmission; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; privacy plan; other relevant documents or records].",[SELECT FROM: System/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,"[SELECT FROM: Organizational capability supporting and maintaining the association of security and privacy attributes to information in storage, in process, and in transmission]."
